code,state,limit_usd,entity_limit_usd,limit_text,other_limits,court,fee_text,fee_min,fee_max,fee_tiers,statute,source_url,changed,verified_date,notes
AL,Alabama,6000,,"$6,000",,District Court small claims docket,Set by statute/county; ask the clerk,,,,Ala. Code §12-12-31,https://judicial.alabama.gov/docs/library/docs/smguide.pdf,,2026-09-26,
AK,Alaska,10000,,"$10,000",,District Court,"$50 (claims ≤$2,500); $100 (over $2,500)",50,100,2500:50|:100,AS 22.15.040,https://public.courts.alaska.gov/web/forms/docs/sc-95.pdf,,2026-09-26,
AZ,Arizona,5000,,"$5,000",,Justice Court small claims division,Set by court fee schedule,,,,A.R.S. §22-503,https://www.azleg.gov/legtext/57leg/1R/summary/S.1022JUDE_ASPASSEDHOUSE.DOCX.htm,"2025: raised from $3,500 (SB 1022, Laws 2025 ch. 94)",2026-09-26,Lawyers only with written consent of all parties (§22-512); no appeal (§22-519)
AR,Arkansas,5000,,"$5,000",,District Court small claims division,Usually $30–$65 (varies by court),30,65,,Ark. Code §16-17-704,https://arcourts.gov/courts/district-courts,,2026-09-26,
CA,California,12500,6250,"$12,500 (individuals)","$6,250 businesses and other entities",Superior Court small claims,$30 / $50 / $75 by claim size,30,75,1500:30|5000:50|:75,Cal. Civ. Proc. Code §116.220–116.221,https://selfhelp.courts.ca.gov/small-claims-california,"2024: raised from $10,000 for individuals",2026-09-26,"No more than two claims over $2,500 per calendar year"
CO,Colorado,7500,,"$7,500",,County Court small claims,$31 (≤$500); $55 (over $500),31,55,500:31|:55,C.R.S. §13-6-403,https://www.coloradojudicial.gov/self-help/cases-7500-or-less,,2026-09-26,
CT,Connecticut,5000,,"$5,000","$15,000 home-improvement contracts; security deposits",Superior Court small claims session,$95,95,95,,Conn. Gen. Stat. §51-15(d),https://www.jud.ct.gov/faq/smallclaims.html,,2026-09-26,
DE,Delaware,25000,,"$25,000",,Justice of the Peace Court (civil),Set by JP Court fee schedule,,,,10 Del. C. §9301,https://www.courts.delaware.gov/jpcourt/jurisdiction.aspx,,2026-09-26,
DC,District of Columbia,10000,,"$10,000",,Superior Court Small Claims Branch,Set by court fee schedule,,,,D.C. Code §11-1321,https://www.dccourts.gov/superior-court/superior-court-divisions/civil-division/small-claims,,2026-09-26,"Counterclaims are not limited to $10,000"
FL,Florida,8000,,"$8,000",,County Court (small claims rules),$55 / $80 / $175 / $300 by claim size,55,300,100:55|500:80|2500:175|:300,Fla. Sm. Cl. R. 7.010; Fla. Stat. §34.041,https://www.miamidadeclerk.gov/clerk/small-claims.page,,2026-09-26,
GA,Georgia,15000,,"$15,000",,Magistrate Court,Set by county,,,,O.C.G.A. §15-10-2,https://www.gwinnettcourts.com/magistrate/civil-jurisdiction-faqs,,2026-09-26,
HI,Hawaii,5000,,"$5,000",No limit for residential security-deposit claims,District Court small claims division,$35,35,35,,HRS §633-27,https://www.courts.state.hi.us/self-help/small_claims_info,,2026-09-26,
ID,Idaho,15000,,"$15,000",,Magistrate Division small claims department,Set by statute; ask the clerk,,,,Idaho Code §1-2301,https://legislature.idaho.gov/statutesrules/idstat/title1/t1ch23/sect1-2301/,"July 1, 2026: raised from $5,000 (S 1330, 2026 ch. 196)",2026-09-26,No lawyers (§1-2308)
IL,Illinois,10000,,"$10,000",,Circuit Court small claims,Set by county,,,,Ill. S. Ct. Rule 281,https://www.illinoiscourts.gov/rules/supreme-court-rules?a=iv,,2026-09-26,
IN,Indiana,10000,,"$10,000","$8,000 in Marion County township small claims courts",Circuit/Superior Court small claims docket,Set by county,,,,IC 33-29-2-4; IC 33-34-3-2,https://law.justia.com/codes/indiana/title-33/article-29/chapter-2/section-33-29-2-4/,,2026-09-26,
IA,Iowa,6500,,"$6,500",,District Court small claims,$115,115,115,,Iowa Code §631.1,https://www.iowacourts.gov/for-the-public/representing-yourself/small-claims,,2026-09-26,
KS,Kansas,10000,,"$10,000",,District Court small claims,Set by statute; ask the clerk,,,,K.S.A. §61-2703,https://ksrevisor.gov/statutes/chapters/ch61/061_027_0003.html,"July 1, 2024: raised from $4,000 (L. 2024 ch. 22)",2026-09-26,Lawyers only with court leave or if the other side has one (§61-2707)
KY,Kentucky,2500,,"$2,500",,District Court small claims division,Set by statute; ask the clerk,,,,KRS 24A.230,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=39856,,2026-09-26,
LA,Louisiana,5000,,"$5,000 (justice of the peace and city court small claims)",City courts' general civil limits run higher,Justice of the Peace / City Court small claims division,Set by parish/court,,,,La. R.S. 13:5202,https://legis.la.gov/legis/Law.aspx?d=77965,,2026-09-26,
ME,Maine,10000,,"$10,000",,District Court small claims,"$50 (≤$4,500); $120 (over $4,500)",50,120,4500:50|:120,14 M.R.S. §7482,https://www.mainelegislature.org/legis/statutes/14/title14sec7482.html,"Jan. 1, 2026: raised from $6,000 (PL 2025 c. 261)",2026-09-26,
MD,Maryland,5000,,"$5,000",,District Court small claims,$44,44,44,,Md. Code Cts. & Jud. Proc. §4-405,https://www.mdcourts.gov/sites/default/files/court-forms/dca109.pdf,,2026-09-26,
MA,Massachusetts,7000,,"$7,000",No cap for motor-vehicle property damage,District Court / Boston Municipal Court small claims,$40–$150 by claim size,40,150,500:40|2000:50|5000:100|:150,M.G.L. c. 218 §21,https://www.mass.gov/info-details/find-out-if-youre-eligible-to-file-a-small-claim,,2026-09-26,
MI,Michigan,7000,,"$7,000",,District Court small claims division,Set by statute by claim size,,,,MCL 600.8401,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-600-8401,"2024: raised from $6,500",2026-09-26,No lawyers; no appeal from a judge's decision
MN,Minnesota,20000,,"$20,000","$4,000 consumer-credit claims",District Court conciliation court,Set by statute; ask the clerk,,,,Minn. Stat. §491A.01,https://www.revisor.mn.gov/statutes/cite/491a.01,"Aug. 1, 2024: raised from $15,000",2026-09-26,
MS,Mississippi,3500,,"$3,500",,Justice Court,Set by county,,,,Miss. Code §9-11-9,https://courts.ms.gov/trialcourts/justicecourt/justicecourt.php,,2026-09-26,
MO,Missouri,5000,,"$5,000",,Circuit Court small claims,Set by statute; ask the clerk,,,,RSMo §482.305,https://revisor.mo.gov/main/OneSection.aspx?section=482.305,,2026-09-26,
