code,state,limit_usd,spouse_limit_usd,limit_text,indexed,real_estate,wait_days,court,procedure,statute,source_url,changed,verified_date,notes
AL,Alabama,47000,,"$47,000 (claims on/after Apr. 1, 2024; next CPI adjustment Apr. 1, 2027)",yes,no,,petition,Petition for summary distribution (probate court),Ala. Code §43-2-690 to -696,https://probate.mobilecountyal.gov/judicial/alabama-small-estates-act/,,2026-09-26,No real property allowed; only the surviving spouse may petition if there is one
AK,Alaska,50000,,"$50,000 personal property plus up to $100,000 in vehicles",no,no,30,no,Affidavit for collection of personal property (Form P-110),AS 13.16.680,https://www.akleg.gov/basis/statutes.asp#13.16.680,,2026-09-26,Owner of any real property cannot use the affidavit
AZ,Arizona,200000,,"$200,000 personal property; separate $300,000 real-property affidavit (affidavits filed on/after Sept. 26, 2025; $75,000/$100,000 before)",no,separate,30,no,Affidavit for collection of personal property; affidavit of succession to real property,A.R.S. §14-3971,https://www.azleg.gov/ars/14/03971.htm,2025-09-26,Raised by HB 2116; limits measure equity net of liens; real property affidavit goes through the court with a 6-month wait
AR,Arkansas,100000,,"$100,000 in all property, less encumbrances",no,yes,45,filed,Small estate affidavit filed with the probate clerk,Ark. Code §28-41-101,https://www.craigheadclerk.com/SmallEstateInstructions.cshtml,,2026-09-26,Clerk filing fee $25; notice must be published when real property is included
CA,California,208850,,"$208,850 for deaths Apr. 1, 2025 – Mar. 31, 2028",yes,separate,40,no,Affidavit for collection of personal property (no mandatory statewide form),Cal. Prob. Code §13100,https://courts.ca.gov/system/files/file/probate-code-890-adjusted-amounts.pdf,2025-04-01,Real property value counts toward the limit but real estate transfers separately: DE-305 affidavit up to $69625 (6-month wait) or a court petition for a primary residence up to $750000 (AB 2016; deaths on/after Apr. 1 2025). Next adjustment Apr. 1 2028
CO,Colorado,88000,,"$88,000 for 2026 deaths (adjusted each year)",yes,no,10,no,Collection of personal property by affidavit (JDF 999),C.R.S. §15-12-1201,https://www.coloradojudicial.gov/media/8153,,2026-09-26,Amount is set by year of death
CT,Connecticut,40000,,"$40,000; no solely owned real estate",no,no,,filed,Affidavit in lieu of probate (PC-212) filed with probate court,C.G.S. §45a-273,https://www.ctprobate.gov/Forms/PC-212.pdf,,2026-09-26,Any solely owned real estate disqualifies regardless of value
DE,Delaware,50000,,"$50,000 for deaths on/after June 10, 2026 ($30,000 before)",no,no,,filed,Small estate affidavit issued through the Register of Wills,12 Del. C. §2306,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=143011&legislationTypeId=1&docTypeId=2&legislationName=HB333,2026-06-10,Raised by HB 333 (85 Del. Laws c. 281)
DC,District of Columbia,80000,,"$80,000 ($40,000 before Mar. 21, 2025)",no,yes,,petition,Small estate proceeding in the Probate Division,D.C. Code §20-351,https://code.dccouncil.gov/us/dc/council/code/sections/20-351,2025-03-21,Raised by D.C. Law 25-302
FL,Florida,150000,,"$150,000 summary administration (effective July 1, 2026; $75,000 before)",no,yes,,petition,Summary administration (circuit court petition),Fla. Stat. §735.201,https://www.flsenate.gov/Laws/Statutes/2026/735.201,2026-07-01,Ch. 2026-57 (CS/HB 1337) also raised disposition without administration to $20000; no affidavit-only route for most assets
GA,Georgia,,,"No dollar cap; all heirs must agree and debts be paid or consented to",no,yes,,petition,Petition for order that no administration is necessary,O.C.G.A. §53-2-40,https://law.justia.com/codes/georgia/title-53/chapter-2/article-4/section-53-2-40/,,2026-09-26,Intestate estates only; filed in probate court of county of domicile
HI,Hawaii,100000,,"$100,000 gross (motor vehicles excluded)",no,no,30,no,Affidavit for collection of personal property,HRS §560:3-1201,https://www.capitol.hawaii.gov/hrscurrent/Vol12_Ch0501-0588/HRS0560/HRS_0560-0003-1201.htm,,2026-09-26,
ID,Idaho,100000,,"$100,000",no,no,30,no,Collection of personal property by affidavit,Idaho Code §15-3-1201,https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH3/SECT15-3-1201/,,2026-09-26,
IL,Illinois,150000,,"$150,000 personal estate, motor vehicles excluded (deaths on/after Aug. 15, 2025; $100,000 before)",no,no,,no,Small estate affidavit,755 ILCS 5/25-1,https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=075500050K25-1,2025-08-15,Vehicles registered with the Secretary of State transfer regardless of estate value
IN,Indiana,100000,,"$100,000 (deaths after June 30, 2022)",no,separate,45,no,Small estate affidavit (personal property),IC 29-1-8-1,https://forms.in.gov/Download.aspx?id=4264,,2026-09-26,Real estate uses a separate affidavit procedure
IA,Iowa,100000,,"$100,000 personal property (effective July 1, 2026; $50,000 before)",no,no,40,no,Small estate affidavit,Iowa Code §633.356,https://www.legis.iowa.gov/docs/code/633.356.pdf,2026-07-01,Raised by HF 2660 (signed Apr. 16 2026)
KS,Kansas,75000,,"$75,000",no,no,,no,Affidavit for transfer of personal property,K.S.A. 59-1507b,https://www.ksrevisor.gov/statutes/chapters/ch59/059_015_0007b.html,,2026-09-26,
KY,Kentucky,30000,,"$30,000 (tied to the KRS 391.030 spousal/child exemption)",no,no,,petition,Petition to dispense with administration (AOC-830),KRS 395.455,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=51997,,2026-09-26,Court petition; $50 filing fee; statute amended eff. July 15 2026 (verify detail before writing a KY spoke)
LA,Louisiana,200000,,"$200,000 gross for Louisiana domiciliaries (Act 293 of 2026; $125,000 before)",no,check,,no,Small succession affidavit,La. C.C.P. art. 3421 and 3431,https://legis.la.gov/legis/Law.aspx?d=111765,2026-08-08,Non-domiciliary limit stays $125000; confirm immovable-property rules before a LA spoke
ME,Maine,52500,,"$40,000 adjusted for inflation (about $52,500 for 2026 deaths)",yes,no,30,no,Small estate affidavit (Form AF-102),18-C M.R.S. §3-1201,https://legislature.maine.gov/statutes/18-C/title18-Csec3-1201.html,2025,PL 2025 c. 76 added inflation indexing; exact yearly figure from probate court
MD,Maryland,50000,100000,"$50,000; $100,000 if the surviving spouse is the sole heir or legatee",no,yes,,petition,Small estate administration through the Register of Wills,Md. Code Est. & Trusts §5-601,https://registers.maryland.gov/main/seinfo.html,,2026-09-26,Administered by the Register of Wills; no probate fee for small estates
MA,Massachusetts,25000,,"$25,000 plus one motor vehicle",no,no,30,filed,Voluntary administration statement (MPC 170),M.G.L. c. 190B §3-1201,https://www.mass.gov/info-details/mupc-estate-administration-procedural-guide-voluntary-administration,,2026-09-26,$115 filing fee at the Probate and Family Court
MI,Michigan,53000,,"$53,000 for 2026 deaths ($50,000 base, indexed)",yes,separate,28,no,Affidavit of decedent's successor (PC 598),MCL 700.3983,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-700-3983,,2026-09-26,Affidavit cannot be used if there is real property; the court assignment under MCL 700.3982 can include real estate with a mortgage deduction up to $264000 (2026)
MN,Minnesota,75000,,"$75,000",no,no,30,no,Affidavit for collection of personal property,Minn. Stat. §524.3-1201,https://www.revisor.mn.gov/statutes/cite/524.3-1201,,2026-09-26,
MS,Mississippi,75000,,"$75,000",no,no,30,no,Small estate affidavit,Miss. Code §91-7-322,https://desotocountyms.gov/DocumentCenter/View/4306/SMALL-ESTATE-AFFIDAVIT,,2026-09-26,
MO,Missouri,40000,,"$40,000 in real and personal property",no,yes,30,filed,Small estate affidavit filed with the probate division,RSMo §473.097,https://revisor.mo.gov/main/OneSection.aspx?section=473.097,,2026-09-26,
