date,day,week,phase,hub,type,slug,working_title,category_id,focus_keyword,draft_path,status,post_id
2026-10-05,Mon,W01,A,H2-small-estate,hub,small-estate-affidavit-limits-by-state,Small Estate Affidavit Limits by State (2026),7,small estate affidavit limits by state,workspace/drafts/H2-small-estate/small-estate-affidavit-limits-by-state.html,planned,
2026-10-06,Tue,W01,A,H2-small-estate,spoke,texas-small-estate-affidavit,"Texas Small Estate Affidavit (2026): Limit, Rules & Form",7,texas small estate affidavit,workspace/drafts/H2-small-estate/texas-small-estate-affidavit.html,planned,
2026-10-07,Wed,W01,A,H2-small-estate,spoke,california-small-estate-affidavit,"California Small Estate Affidavit (2026): Limit, Rules & Form",7,california small estate affidavit,workspace/drafts/H2-small-estate/california-small-estate-affidavit.html,planned,
2026-10-08,Thu,W01,A,H2-small-estate,spoke,florida-small-estate-affidavit,"Florida Small Estate Affidavit (2026): Limit, Rules & Form",7,florida small estate affidavit,workspace/drafts/H2-small-estate/florida-small-estate-affidavit.html,planned,
2026-10-09,Fri,W01,A,H2-small-estate,spoke,illinois-small-estate-affidavit,"Illinois Small Estate Affidavit (2026): Limit, Rules & Form",7,illinois small estate affidavit,workspace/drafts/H2-small-estate/illinois-small-estate-affidavit.html,planned,
2026-10-12,Mon,W02,A,H2-small-estate,spoke,new-york-small-estate-affidavit,"New York Small Estate Affidavit (2026): Limit, Rules & Form",7,new york small estate affidavit,workspace/drafts/H2-small-estate/new-york-small-estate-affidavit.html,planned,
2026-10-13,Tue,W02,A,H2-small-estate,spoke,pennsylvania-small-estate-affidavit,"Pennsylvania Small Estate Affidavit (2026): Limit, Rules & Form",7,pennsylvania small estate affidavit,workspace/drafts/H2-small-estate/pennsylvania-small-estate-affidavit.html,planned,
2026-10-14,Wed,W02,A,H2-small-estate,spoke,ohio-small-estate-affidavit,"Ohio Small Estate Affidavit (2026): Limit, Rules & Form",7,ohio small estate affidavit,workspace/drafts/H2-small-estate/ohio-small-estate-affidavit.html,planned,
2026-10-15,Thu,W02,A,H2-small-estate,spoke,michigan-small-estate-affidavit,"Michigan Small Estate Affidavit (2026): Limit, Rules & Form",7,michigan small estate affidavit,workspace/drafts/H2-small-estate/michigan-small-estate-affidavit.html,planned,
2026-10-16,Fri,W02,A,H2-small-estate,spoke,virginia-small-estate-affidavit,"Virginia Small Estate Affidavit (2026): Limit, Rules & Form",7,virginia small estate affidavit,workspace/drafts/H2-small-estate/virginia-small-estate-affidavit.html,planned,
2026-10-19,Mon,W03,A,H2-small-estate,spoke,indiana-small-estate-affidavit,"Indiana Small Estate Affidavit (2026): Limit, Rules & Form",7,indiana small estate affidavit,workspace/drafts/H2-small-estate/indiana-small-estate-affidavit.html,planned,
2026-10-20,Tue,W03,A,H2-small-estate,spoke,georgia-small-estate-affidavit,"Georgia Small Estate Affidavit (2026): Limit, Rules & Form",7,georgia small estate affidavit,workspace/drafts/H2-small-estate/georgia-small-estate-affidavit.html,planned,
2026-10-21,Wed,W03,A,H2-small-estate,spoke,north-carolina-small-estate-affidavit,"North Carolina Small Estate Affidavit (2026): Limit, Rules & Form",7,north carolina small estate affidavit,workspace/drafts/H2-small-estate/north-carolina-small-estate-affidavit.html,planned,
2026-10-22,Thu,W03,A,H2-small-estate,spoke,arizona-small-estate-affidavit,"Arizona Small Estate Affidavit (2026): Limit, Rules & Form",7,arizona small estate affidavit,workspace/drafts/H2-small-estate/arizona-small-estate-affidavit.html,planned,
2026-10-23,Fri,W03,A,H2-small-estate,spoke,washington-small-estate-affidavit,"Washington Small Estate Affidavit (2026): Limit, Rules & Form",7,washington small estate affidavit,workspace/drafts/H2-small-estate/washington-small-estate-affidavit.html,planned,
2026-10-26,Mon,W04,A,H2-small-estate,spoke,new-jersey-small-estate-affidavit,"New Jersey Small Estate Affidavit (2026): Limit, Rules & Form",7,new jersey small estate affidavit,workspace/drafts/H2-small-estate/new-jersey-small-estate-affidavit.html,planned,
